A124,Antonov An-124 Ruslan
A140,Antonov An-140
A148,Antonov An-148
A158,Antonov An-158
A19N,Airbus A319neo
A20N,Airbus A320neo
A21N,Airbus A321neo
A225,Antonov An-225 Mriya
A306,Airbus A300-600
A306,Airbus A300-600 Freighter[4]
A30B,"Airbus A300B2, A300B4 and A300C4"
A310,Airbus A310-200
A310,Airbus A310-300
A318,Airbus A318
A318,Airbus A318 (sharklets)
A319,Airbus A319
A319,Airbus A319 (sharklets)
A320,Airbus A320
A320,Airbus A320 (sharklets)
A321,Airbus A321
A321,Airbus A321 (sharklets)
A332,Airbus A330-200
A333,Airbus A330-300
A332,Airbus A330-200 Freighter
A333,Airbus A330-300 Freighter
A337,"Airbus A330-700 ""BelugaXL"""
A338,Airbus A330-800
A339,Airbus A330-900
A342,Airbus A340-200
A343,Airbus A340-300
A345,Airbus A340-500
A346,Airbus A340-600
A359,Airbus A350-900
A35K,Airbus A350-1000
A388,Airbus A380-800
A3ST,"Airbus A300-600ST ""Super Transporter"" / ""Beluga"""
A400,Airbus A400M Atlas
A748,Hawker Siddeley HS 748
AC90,Gulfstream/Rockwell (Aero) Turbo Commander 690
AJ27,Comac ARJ21-700 / C909
AN12,Antonov An-12
AN24,Antonov An-24
AN26,Antonov An-26
AN28,Antonov An-28
AN30,Antonov An-30
AN32,Antonov An-32
AN72,Antonov An-72 / An-74
AT43,Aerospatiale/Alenia ATR 42-300 / 320
AT45,Aerospatiale/Alenia ATR 42-500
AT46,Aerospatiale/Alenia ATR 42-600
AT72,Aerospatiale/Alenia ATR 72-201/-202
AT73,Aerospatiale/Alenia ATR 72-211/-212
AT75,Aerospatiale/Alenia ATR 72-212A (500)
AT76,Aerospatiale/Alenia ATR 72-212A (600)
ATP,British Aerospace ATP
B190,Beechcraft 1900
B37M,Boeing 737 MAX 7
B38M,Boeing 737 MAX 8
B39M,Boeing 737 MAX 9
B3XM,Boeing 737 MAX 10
B461,BAe 146-100
B462,BAe 146-200
B463,BAe 146-300
B52,Boeing B-52 Stratofortress
B703,Boeing 707
B712,Boeing 717
B720,Boeing 720B
B721,Boeing 727-100
B722,Boeing 727-200
B732,Boeing 737-200
B732,Boeing 737-200 Freighter
B732,Boeing 737-200 Combi[4]
B733,Boeing 737-300
B733,Boeing 737-300 Winglets
B733,Boeing 737-300 Freighter
B734,Boeing 737-400
B734,Boeing 737-400 Freighter
B735,Boeing 737-500
B735,Boeing 737-500 Winglets
B736,Boeing 737-600
B738,Boeing 737-800
B739,Boeing 737-900
B737,Boeing 737-700
B737,Boeing 737-700 Winglets
B738,Boeing 737-800 Winglets
B738,Boeing 737-800 Freighter Winglets
B738,Boeing 737-800 Freighter
B739,Boeing 737-900 Winglets
B741,Boeing 747-100
B741,Boeing 747-100 Freighter
B742,Boeing 747-200
B742,Boeing 747-200M
B742,Boeing 747-200F
B743,Boeing 747-300
B743,Boeing 747-300M
B744,Boeing 747-400 
B748,Boeing 747-8I
B748,Boeing 747-8F
B74R,Boeing 747SR
B74R,Boeing 747SR Freighter
B74S,Boeing 747SP
B752,Boeing 757-200
B752,Boeing 757F
B752,Boeing 757-200 Winglets[4]
B753,Boeing 757-300
B762,Boeing 767-200
B763,Boeing 767-300
B764,Boeing 767-400ER
B772,Boeing 777-200
B773,Boeing 777-300
B778,Boeing 777-8
B779,Boeing 777-9
B77L,Boeing 777-200LR
B77W,Boeing 777-300ER
B788,Boeing 787-8
B789,Boeing 787-9
B78X,Boeing 787-10
BA11,British Aerospace (BAC) One Eleven
BCS1,Airbus A220-100
BCS3,Airbus A220-300
BE20,Beechcraft (Super) King Air 200
BE40,Hawker 400
BE99,Beechcraft Model 99
BELF,Shorts SC-5 Belfast
BER2,Beriev Be-200 Altair
BLCF,Boeing 747-400 LCF Dreamlifter
C130,Lockheed L-182 / 282 / 382 (L-100) Hercules
C212,CASA / IPTN 212 Aviocar
C25A,Cessna Citation CJ2
C25B,Cessna Citation CJ3
C25C,Cessna Citation CJ4
C30J,Lockheed Martin C-130J Hercules
C5M,Lockheed C-5M Super Galaxy
C500,Cessna Citation I
C510,Cessna Citation Mustang
C525,Cessna CitationJet
C550,Cessna Citation II
C560,Cessna Citation V
C56X,Cessna Citation Excel
C650,"Cessna Citation III, VI, VII"
C680,Cessna Citation Sovereign
C68A,Cessna Citation Latitude
C700,Cessna Citation Longitude
C750,Cessna Citation X
C919,Comac C919
CL2T,Bombardier 415
CL30,Bombardier BD-100 Challenger 300
CL60,Canadair Challenger 600
CN35,CASA/IPTN CN-235
CRJ1,Canadair Regional Jet 100
CRJ2,Canadair Regional Jet 200
CRJ7,Canadair Regional Jet 700 | Regional Jet 550
CRJ9,Canadair Regional Jet 900
CRJX,Canadair Regional Jet 1000
CVLT,"Convair CV-580, Convair CV-600, Convair CV-640"
D228,Dornier 228
D328,Fairchild Dornier Do.328
DC10,Douglas DC-10-10 / -15 Passenger
DC10,Douglas DC-10-30 / -40 Passenger
DC10,Douglas DC-10-30 Combi
DC10,Douglas DC-10-10 Freighter
DC10,Douglas DC-10-30 / -40 Freighter
DC85,Douglas DC-8-50
DC86,Douglas DC-8-62
DC87,Douglas DC-8-72
DC91,Douglas DC-9-10
DC92,Douglas DC-9-20
DC93,Douglas DC-9-30
DC94,Douglas DC-9-40
DC95,Douglas DC-9-50
DH8A,De Havilland Canada DHC-8-100 Dash 8 / 8Q
DH8B,De Havilland Canada DHC-8-200 Dash 8 / 8Q
DH8C,De Havilland Canada DHC-8-300 Dash 8 / 8Q
DH8D,De Havilland Canada DHC-8-400 Dash 8Q
DHC5,De Havilland Canada DHC-5 Buffalo
DHC6,De Havilland Canada DHC-6 Twin Otter
DHC7,De Havilland Canada DHC-7 Dash 7
E110,Embraer EMB 110 Bandeirante
E120,Embraer EMB 120 Brasilia
E135,Embraer RJ135
E135,Embraer RJ140
E145,Embraer RJ145
E170,Embraer 170
E190,Embraer 190
E195,Embraer 195
E290,Embraer E190-E2
E295,Embraer E195-E2
E35L,Embraer Legacy 600
E50P,Embraer Phenom 100
E545,Embraer Legacy 450
E550,Embraer Legacy 500
E55P,Embraer Phenom 300
E75L,Embraer 175
E75S,Embraer 175
EA50,Eclipse 500
F100,Fokker 100
F27,Fokker F27 Friendship
F28,Fokker F28 Fellowship
F2TH,Dassault Falcon 2000
F406,Reims-Cessna F406 Caravan II
F50,Fokker 50
F70,Fokker 70
F900,Dassault Falcon 900
FA50,Dassault Falcon 50
FA6X,Dassault Falcon 6X
FA7X,Dassault Falcon 7X
G159,Gulfstream Aerospace G-159 Gulfstream I
G280,Gulfstream G280
G73T,Grumman G-73 Turbo Mallard
GL5T,Bombardier BD-700 Global 5000
GLEX,Bombardier Global Express / Raytheon Sentinel
GLF4,Gulfstream IV
GLF5,Gulfstream V
GLF6,Gulfstream G650
GA7C,Gulfstream G700
H25B,British Aerospace 125 series / Hawker/Raytheon 700/800/800XP/850/900
H25C,British Aerospace 125-1000 series / Hawker/Raytheon 1000
HDJT,Honda HA-420
I114,Ilyushin Il-114
IL18,Ilyushin Il-18
IL62,Ilyushin Il-62
IL76,Ilyushin Il-76
IL86,Ilyushin Il-86
IL96,Ilyushin Il-96
J328,Fairchild Dornier 328JET
JS31,British Aerospace Jetstream 31
JS32,British Aerospace Jetstream 32
JS41,British Aerospace Jetstream 41
K35R,Boeing KC-135 Stratotanker
L101,Lockheed L-1011 Tristar
L188,Lockheed L-188 Electra
L410,LET 410
LJ35,Learjet 35 / 36 / C-21A
LJ60,Learjet 60
MD11,McDonnell Douglas MD-11
MD11,McDonnell Douglas MD-11F
MD11,McDonnell Douglas MD-11C
MD81,McDonnell Douglas MD-81
MD82,McDonnell Douglas MD-82
MD83,McDonnell Douglas MD-83
MD87,McDonnell Douglas MD-87
MD88,McDonnell Douglas MD-88
MD90,McDonnell Douglas MD-90
MU2,Mitsubishi Mu-2
N262,Aerospatiale (Nord) 262
NOMA,Government Aircraft Factories N22B / N24A Nomad
P8,Boeing P-8 Poseidon
P180,Piaggio P.180 Avanti
PAY2,PIPER Cheyenne 2
PC24,Pilatus PC-24
RJ1H,Avro RJ100
RJ70,Avro RJ70
RJ85,Avro RJ85
S601,Aerospatiale SN.601 Corvette
SB20,Saab 2000
SC7,Shorts SC-7 Skyvan
SF34,Saab SF340A/B
SH33,Shorts SD.330
SH36,Shorts SD.360
SU95,Sukhoi Superjet 100-95
SW4,Fairchild Swearingen Metroliner
T134,Tupolev Tu-134
T154,Tupolev Tu-154
T204,Tupolev Tu-204 / Tu-214
WW24,Israel Aircraft Industries 1124 Westwind
Y12,Harbin Y-12
YK40,Yakovlev Yak-40
YK42,Yakovlev Yak-42
YS11,NAMC YS-11